section,object_name,details
04_COLUMN,public.article_categories.sort_order,"{""table"":""article_categories"",""column"":""sort_order"",""schema"":""public"",""default"":""0"",""nullable"":""NO"",""position"":4,""udt_name"":""int4"",""data_type"":""integer"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":0,""numeric_precision"":32,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,public.article_categories.updated_at,"{""table"":""article_categories"",""column"":""updated_at"",""schema"":""public"",""default"":""now()"",""nullable"":""NO"",""position"":6,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,public.article_category_translations.category_id,"{""table"":""article_category_translations"",""column"":""category_id"",""schema"":""public"",""default"":null,""nullable"":""NO"",""position"":1,""udt_name"":""uuid"",""data_type"":""uuid"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,public.article_category_translations.created_at,"{""table"":""article_category_translations"",""column"":""created_at"",""schema"":""public"",""default"":""now()"",""nullable"":""NO"",""position"":4,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,public.article_category_translations.locale,"{""table"":""article_category_translations"",""column"":""locale"",""schema"":""public"",""default"":null,""nullable"":""NO"",""position"":2,""udt_name"":""content_locale"",""data_type"":""USER-DEFINED"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,public.article_category_translations.name,"{""table"":""article_category_translations"",""column"":""name"",""schema"":""public"",""default"":null,""nullable"":""NO"",""position"":3,""udt_name"":""text"",""data_type"":""text"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,public.article_category_translations.updated_at,"{""table"":""article_category_translations"",""column"":""updated_at"",""schema"":""public"",""default"":""now()"",""nullable"":""NO"",""position"":5,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,public.article_translations.article_id,"{""table"":""article_translations"",""column"":""article_id"",""schema"":""public"",""default"":null,""nullable"":""NO"",""position"":1,""udt_name"":""uuid"",""data_type"":""uuid"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,public.article_translations.body_markdown,"{""table"":""article_translations"",""column"":""body_markdown"",""schema"":""public"",""default"":null,""nullable"":""YES"",""position"":6,""udt_name"":""text"",""data_type"":""text"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,public.article_translations.created_at,"{""table"":""article_translations"",""column"":""created_at"",""schema"":""public"",""default"":""now()"",""nullable"":""NO"",""position"":9,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
